survey,country,edyears,pct20_29,pct20_29_male,pct20_29_female,pct20_29_urban,pct20_29_rural,pct20_29_q1,pct20_29_q2,pct20_29_q3,pct20_29_q4,pct20_29_q5
CD6,Congo DR,11,0.31462148,0.43327391,0.22048312,0.5246821,0.18211374,0.12258019,0.18301052,0.22018717,0.32726297,0.63094664
CD6,Congo DR,12,0.24677132,0.33663905,0.17547061,0.42932776,0.13161343,0.078845061,0.13442798,0.1560528,0.23658878,0.54387826
CG6,Congo,0,1,1,1,1,1,1,1,1,1,1
CG6,Congo,1,0.9527117,0.96308553,0.94506198,0.96531731,0.91661197,0.87748504,0.94277579,0.97357506,0.96240145,1
CG6,Congo,2,0.94536793,0.95850855,0.93567789,0.9612233,0.89996147,0.85207158,0.92778999,0.97076738,0.95938438,0.9735226
CG6,Congo,3,0.92698365,0.94292921,0.91522533,0.94856697,0.86517376,0.80509633,0.8984412,0.95881623,0.94869018,0.96566141
CG6,Congo,4,0.89818466,0.9182691,0.88337439,0.93007034,0.80687112,0.73002088,0.85575569,0.93270385,0.93650919,0.95361722
CG6,Congo,5,0.86945039,0.89196789,0.85284603,0.90908825,0.75593662,0.66261166,0.80678082,0.90893453,0.92049205,0.94431102
CG6,Congo,6,0.79889196,0.82426703,0.78018045,0.8570649,0.63229764,0.52303571,0.7022478,0.82623225,0.8761692,0.92268133
CG6,Congo,7,0.72188866,0.75593871,0.69678026,0.79540926,0.51134181,0.40197369,0.58606273,0.74985939,0.81552356,0.88302851
CG6,Congo,8,0.62214643,0.66902131,0.58758098,0.70198804,0.39349768,0.28185245,0.45225739,0.61419529,0.7264908,0.84364194
CG6,Congo,9,0.52146733,0.58273327,0.47628984,0.6023429,0.28985748,0.19008684,0.33465752,0.49528518,0.60403252,0.79196656
CG6,Congo,10,0.37341565,0.43590122,0.32733884,0.44624209,0.16485675,0.086025737,0.1745972,0.31829605,0.43340322,0.67985314
CG6,Congo,11,0.28190789,0.32937843,0.24690318,0.34763965,0.093666732,0.046171606,0.10701149,0.19923235,0.33179963,0.57700562
CG6,Congo,12,0.23748694,0.27793705,0.20765907,0.2962437,0.069220625,0.035872519,0.074220039,0.152431,0.27134228,0.52366322
CI6,Cote d'Ivoire,0,1,1,1,1,1,1,1,1,1,1
CI6,Cote d'Ivoire,1,0.56618196,0.65911609,0.48213181,0.67867857,0.43574229,0.33221504,0.45269164,0.53843087,0.59034598,0.78732073
CI6,Cote d'Ivoire,2,0.55660868,0.64725524,0.47462744,0.67394501,0.42055738,0.31427899,0.43926334,0.52654099,0.58409089,0.78441846
CI6,Cote d'Ivoire,3,0.53092623,0.61962199,0.45070934,0.66142195,0.37961671,0.26689154,0.39737275,0.50319237,0.56436992,0.77574825
CI6,Cote d'Ivoire,4,0.48913029,0.57343072,0.41288856,0.62579429,0.33066869,0.22375235,0.33725318,0.44576523,0.5319469,0.74882948
CI6,Cote d'Ivoire,5,0.44966564,0.53663737,0.37100798,0.59495336,0.28120485,0.16892073,0.29395029,0.40158528,0.49897045,0.71976578
CI6,Cote d'Ivoire,6,0.3963142,0.48609394,0.31511697,0.5447883,0.22415882,0.12995602,0.21921501,0.33533704,0.44727439,0.67709929
CI6,Cote d'Ivoire,7,0.30956873,0.40373477,0.2244045,0.45674971,0.13891274,0.07820601,0.12084023,0.24253465,0.34275284,0.59319836
CI6,Cote d'Ivoire,8,0.29351017,0.38372555,0.21191896,0.44086581,0.12265168,0.058224898,0.11091503,0.22725558,0.32709599,0.57533163
CI6,Cote d'Ivoire,9,0.27490926,0.36269894,0.19551185,0.41651595,0.11071665,0.051798325,0.09669967,0.21253082,0.30242509,0.54840767
CI6,Cote d'Ivoire,10,0.24391241,0.32041407,0.17472397,0.37718701,0.089380853,0.035148289,0.075435892,0.18170819,0.26205012,0.51009613
CI6,Cote d'Ivoire,11,0.18071289,0.23780014,0.12908296,0.2915177,0.052235018,0.01264717,0.044899993,0.1109726,0.1862258,0.41723996
CI6,Cote d'Ivoire,12,0.15869327,0.21051729,0.11182341,0.25953978,0.041761983,0.010388227,0.0345378,0.084764495,0.15292957,0.38799554
CM6,Cameroon,0,1,1,1,1,1,1,1,1,1,1
CM6,Cameroon,1,0.85353148,0.91542923,0.80222398,0.94049776,0.73023403,0.50387943,0.77013373,0.88200849,0.94343579,0.98361588
CM6,Cameroon,2,0.84332752,0.90686107,0.7906642,0.93656933,0.71113282,0.46906739,0.7543506,0.87189126,0.94070148,0.98268938
CM6,Cameroon,3,0.81774986,0.88443708,0.76247251,0.92574537,0.6646381,0.39210382,0.7092219,0.84278077,0.9339968,0.98027474
CM6,Cameroon,4,0.79264569,0.85983664,0.73695081,0.9122926,0.62301493,0.33743969,0.66420394,0.81512135,0.91924554,0.97378492
CM6,Cameroon,5,0.75825363,0.82443303,0.70339727,0.89102352,0.57001764,0.28366506,0.60327321,0.76424956,0.89362466,0.96643722
