survey,country,var,var_num,edyears,pct15_19,pct20_29,pct30_39,pct40_49
AM7,Armenia,male,male,12,.32047141,.46176341,.39169452,.42084476
AM7,Armenia,male,male,13,.067043811,.36039761,.35729614,.3552433
AM7,Armenia,male,male,14,.0081655337,.27563068,.29481342,.22712253
AM7,Armenia,male,male,15,,.14545533,.2154211,.19857047
AM7,Armenia,male,male,16,,.045247272,.039726783,.025150273
AM7,Armenia,male,male,17,,.0077130161,.017695563,.016278051
AM7,Armenia,male,male,18,,.0023459897,.0086482288,.0099876774
AM7,Armenia,male,male,19,,.0010336947,.0043003284,.0041475878
AM7,Armenia,male,male,20,,,.0040869568,.0034844009
AM7,Armenia,male,male,21,,,,
AM7,Armenia,male,male,22,,,.00077011669,
AM7,Armenia,male,male,24,,,,
AM7,Armenia,q1,q1,0,1,1,1,1
AM7,Armenia,q1,q1,1,1,1,1,1
AM7,Armenia,q1,q1,2,1,.99929172,.99282855,1
AM7,Armenia,q1,q1,3,1,.99473751,.99062222,.9932698
AM7,Armenia,q1,q1,4,1,.99117994,.98699403,
AM7,Armenia,q1,q1,5,1,.98941457,.98492563,
AM7,Armenia,q1,q1,6,.99511576,.98475701,.98171645,.99057829
AM7,Armenia,q1,q1,7,.99023145,.98219448,.97750443,
AM7,Armenia,q1,q1,8,.98426503,.98046869,.96539837,.98804355
AM7,Armenia,q1,q1,9,.90310234,.83237851,.78977799,.82245564
AM7,Armenia,q1,q1,10,.6830914,.80942154,.77947605,.81847733
AM7,Armenia,q1,q1,11,.39990225,.32050404,.18032153,.24176013
AM7,Armenia,q1,q1,12,.22105992,.28138056,.16385272,.21697125
AM7,Armenia,q1,q1,13,.033542126,.17007102,.12672183,.15019174
AM7,Armenia,q1,q1,14,.0069988477,.11866885,.053288963,.041587286
AM7,Armenia,q1,q1,15,,.042942028,.027476294,.025036888
AM7,Armenia,q1,q1,16,,.015335,.0037050319,.00075105194
AM7,Armenia,q1,q1,17,,.0017258575,,
AM7,Armenia,q1,q1,18,,,.0017092751,
AM7,Armenia,q1,q1,19,,,.0010744915,
AM7,Armenia,q1,q1,20,,,,
AM7,Armenia,q1,q1,21,,,,
AM7,Armenia,q1,q1,22,,,,
AM7,Armenia,q1,q1,24,,,,
AM7,Armenia,q2,q2,0,1,1,1,1
AM7,Armenia,q2,q2,1,1,1,.99677032,1
AM7,Armenia,q2,q2,2,1,.99730361,,1
AM7,Armenia,q2,q2,3,1,,,1
AM7,Armenia,q2,q2,4,1,.995736,.99576271,1
AM7,Armenia,q2,q2,5,1,.99345577,,1
AM7,Armenia,q2,q2,6,1,,,1
AM7,Armenia,q2,q2,7,.99256438,,.99486482,.99799109
AM7,Armenia,q2,q2,8,.98576516,.99035865,.9911136,.99600351
AM7,Armenia,q2,q2,9,.89687961,.9350912,.89666778,.93331224
AM7,Armenia,q2,q2,10,.74953485,.93286186,.89235073,.93072605
AM7,Armenia,q2,q2,11,.54368925,.54796612,.31173897,.38079572
AM7,Armenia,q2,q2,12,.3435663,.48508525,.30842641,.3630271
AM7,Armenia,q2,q2,13,.031411543,.37585938,.27464941,.28279731
AM7,Armenia,q2,q2,14,.004181637,.27155024,.17848693,.12329499
AM7,Armenia,q2,q2,15,,.12358643,.12418752,.093550995
AM7,Armenia,q2,q2,16,,.043318182,.020469818,.010699097
AM7,Armenia,q2,q2,17,,.0076526543,.011912152,.0081556262
AM7,Armenia,q2,q2,18,,.0050539603,.0054241852,.006854672
AM7,Armenia,q2,q2,19,,.0039783996,,
AM7,Armenia,q2,q2,20,,.0015440811,.0040536742,
AM7,Armenia,q2,q2,21,,,,.0015438617
