survey,country,edyears,pct15_19,pct15_19_male,pct15_19_female,pct15_19_urban,pct15_19_rural,pct15_19_q1,pct15_19_q2,pct15_19_q3,pct15_19_q4,pct15_19_q5,pct20_29,pct20_29_male,pct20_29_female,pct20_29_urban,pct20_29_rural,pct20_29_q1,pct20_29_q2,pct20_29_q3,pct20_29_q4,pct20_29_q5,pct30_39,pct30_39_male,pct30_39_female,pct30_39_urban,pct30_39_rural,pct30_39_q1,pct30_39_q2,pct30_39_q3,pct30_39_q4,pct30_39_q5,pct40_49,pct40_49_male,pct40_49_female,pct40_49_urban,pct40_49_rural,pct40_49_q1,pct40_49_q2,pct40_49_q3,pct40_49_q4,pct40_49_q5
DR6,Dominican Republic,4,.94706702,.93056792,.96321374,.95535618,.92455322,.87105668,.94984072,.94806415,.97240627,.99047822,.92186922,.89957595,.94390553,.93490171,.88474214,.78026676,.91838551,.9589994,.97644663,.98825401,.86667341,.8349278,.89769101,.89137357,.79035169,.65027922,.81514961,.91229463,.95098233,.9943971,.82340586,.8159638,.83058465,.86031526,.72102398,.58961684,.74534917,.81612003,.91550958,.96047789
DR6,Dominican Republic,5,.92753994,.90003675,.95445561,.93813276,.89876932,.8269732,.92358792,.92789537,.9647752,.98942447,.89698601,.87072599,.92294341,.91485423,.84608281,.73466456,.87718964,.94287747,.96284074,.98393679,.82827997,.79259259,.86314899,.85903054,.73326296,.58100098,.74447334,.88525438,.928967,.98911405,.77556342,.76478916,.78595662,.81728494,.65983331,.52114147,.67043012,.75292194,.88146752,.94618946
DR6,Dominican Republic,6,.90186483,.8650642,.93787938,.91664338,.86172557,.75307429,.89472741,.91973126,.95163733,.98243082,.86910933,.83616102,.90167797,.89095592,.80687249,.67625284,.83818012,.9244743,.94553077,.98166066,.79303354,.75255924,.83257973,.82800668,.68496925,.52782512,.69663489,.84676701,.89770675,.98230326,.72504061,.71107978,.73850781,.77186549,.59515464,.44801053,.60729164,.68930548,.83119005,.93021053
DR6,Dominican Republic,7,.85918516,.8086158,.90867442,.87797219,.80815876,.67984277,.84420568,.86835879,.93090332,.96322662,.84027505,.80292022,.87719941,.8669095,.76439852,.6077711,.80982465,.89963633,.93373215,.97453576,.75266188,.70787048,.79642624,.79065382,.63526964,.46030352,.63783371,.80625504,.87755442,.96550453,.66292948,.64918554,.67618746,.71410614,.52097225,.36912841,.51811802,.62440318,.78322035,.88841844
DR6,Dominican Republic,8,.78419954,.72253382,.84454817,.80527961,.72694522,.54561186,.74612159,.80143136,.87847459,.9355284,.77938586,.7374171,.820871,.81276029,.68430835,.49968061,.72525054,.83301902,.90671611,.96336454,.67771465,.62406242,.73013657,.71828896,.55234301,.37056968,.53141266,.72027755,.81444508,.93385041,.57792467,.56628311,.5891546,.6337688,.42302048,.27751505,.41351658,.5156334,.68688738,.85104173
DR6,Dominican Republic,9,.65924954,.58619732,.73074138,.68400496,.59201247,.37302524,.58571422,.66685355,.75524026,.89626008,.70237666,.64594471,.75815815,.73877871,.59867382,.38864022,.62059027,.73284537,.86814988,.93912256,.5723564,.5100584,.63322586,.61573499,.4383198,.25523084,.41889691,.57587308,.70327502,.88882881,.46291074,.43138915,.4933179,.52131015,.30091879,.1732299,.26776868,.37217927,.55970311,.78454459
DR6,Dominican Republic,10,.51950645,.44346184,.59392679,.54490513,.45052233,.27760929,.393709,.53077275,.61895257,.7563256,.63760442,.57470322,.69978064,.67260337,.53789872,.31913924,.53189409,.65517038,.8174938,.90499038,.51644319,.44275635,.58844042,.5579443,.38820788,.2097576,.35119435,.50194609,.63218683,.86703098,.40999657,.37051591,.44808137,.4716202,.23906092,.12862857,.22075106,.29891956,.49824974,.74609774
DR6,Dominican Republic,11,.36474743,.29850483,.42957515,.37946573,.32477191,.16186979,.25101942,.36752462,.44142056,.58418012,.57583588,.50379723,.64704424,.61340475,.46880886,.25309178,.45760977,.58537233,.75069952,.87516379,.463891,.38775152,.53828466,.50276047,.34378716,.17563009,.29462448,.42981574,.57620424,.82322443,.35668582,.30855724,.40311289,.41512343,.19458793,.098362051,.17633538,.24971452,.43059075,.68020052
DR6,Dominican Republic,12,.2226167,.16649362,.27754104,.2290836,.20505244,.072737895,.14143249,.19381188,.27038327,.42153063,.51517326,.43373385,.59567398,.55058587,.414289,.18798749,.38694069,.5264551,.69595319,.82273424,.4206194,.34413075,.49535418,.45605877,.31111437,.13574767,.25210631,.38228765,.51678228,.79633033,.32442683,.27061564,.37633562,.37894607,.17319801,.077172227,.14868703,.21500151,.38761893,.64861482
DR6,Dominican Republic,13,.051331181,.027447788,.074704446,.054728314,.042104576,.00093289121,.021256952,.035999931,.059969377,.13361973,.27419022,.19591829,.35156,.30653915,.18203385,.049999539,.10738367,.21154726,.4190802,.62319845,.24689144,.19324048,.29931226,.2732287,.16551134,.038059924,.11421578,.17063439,.31558159,.57986575,.18138894,.13368285,.22740845,.21812095,.07949958,.022829849,.041736789,.082287788,.18299484,.46585125
