survey,edyears,pct15_19,pct15_19_male,pct15_19_female,pct15_19_urban,pct15_19_rural,pct15_19_q1,pct15_19_q2,pct15_19_q3,pct15_19_q4,pct15_19_q5,pct20_30,pct20_30_male,pct20_30_female,pct20_30_urban,pct20_30_rural,pct20_30_q1,pct20_30_q2,pct20_30_q3,pct20_30_q4,pct20_30_q5,pct40_50,pct40_50_male,pct40_50_female,pct40_50_urban,pct40_50_rural,pct40_50_q1,pct40_50_q2,pct40_50_q3,pct40_50_q4,pct40_50_q5
AO7,14,.0014225114,.00083515962,.0019672082,.001983209,,,,,,.0053106113,.053572271,.060097907,.048540421,.074546292,.0015403444,,,.0088507505,.025468014,.18375161,.058358923,.085647911,.035384461,.087554902,.005853923,,,.015762389,.024055827,.21999255
AO7,15,,,,,,,,,,,.034796175,.040682074,.03025762,.048648987,.00043044015,,,.0073264712,.013554141,.12077657,.048404101,.071772769,.028730137,.072121471,.0057516024,,.0021843265,.013815629,.02331592,.17876999
AO7,16,,,,,,,,,,,.020273432,.024442092,.01705903,.02834535,.00024887468,,,.0048767934,.0084326332,.069386505,.038799759,.05857658,.022149744,.057733562,.0047498327,,,.011618274,.015521759,.14634459
AO7,17,,,,,,,,,,,.010898536,.012706489,.0095044551,.015228045,,,,.0023297656,.0065423157,.035714451,.02558299,.039298348,.014036077,.038535673,,,,.0077945641,.0065612583,.09922871
AO7,18,,,,,,,,,,,.0032324009,.0020847681,.0041173496,.0044717058,,,,.00025424841,.0015236218,.011327278,.012837106,.02365735,.0037275678,.01870228,.0022892598,,.00082650088,,.0021880025,.049099475
AO7,19,,,,,,,,,,,.0019779,.0018188357,.0021005706,.0027115182,.00015809195,,,,.0001523223,.0077662892,.009176095,.01799739,,.013560786,,,,,,.03543758
AO7,20,,,,,,,,,,,.001886824,,.0020005624,.0026474337,,,,,,.0075406278,.0077815889,.014946491,.0017494579,.011390847,.0012906882,,,.0055960952,,.029371904
AO7,21,,,,,,,,,,,.0016158313,,.0015206093,.0022672042,,,,,,.0064576482,.0051730513,.010067973,.0010520009,.0080046179,,,.0003303118,,,.02102638
AO7,22,,,,,,,,,,,,,,,,,,,,,.0039336486,.0086059654,,.00607603,.000080718819,,,,,.015920699
AO7,23,,,,,,,,,,,.0014198055,.0017393437,.0011734292,.0019921607,,,,,,.0056742616,,,,,,,,,,
AO7,24,,,,,,,,,,,.00099350698,.0012951589,.00076092279,.0013940223,,,,,,.0039706277,.0027731275,.0060669784,,.0043150787,,,,.0015886365,,.010872788
BD6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BD6,1,.94763345,.93042868,.96074796,.95593172,.94440651,.89653963,.92439759,.96549523,.96660244,.97664171,.86807227,.85899371,.87536412,.89961588,.85453099,.68630993,.84143233,.89458245,.91900402,.95660943,.57374191,.62376368,.51397091,.69438833,.52242076,.26036465,.42751291,.57592964,.67492956,.85336053
BD6,2,.9380762,.91892052,.95267779,.94666266,.93473721,.87542611,.91998291,.95769113,.95427597,.97304451,.85453856,.84086037,.86552489,.88837725,.84001201,.66360962,.82244962,.88142592,.90760154,.95220262,.54456311,.60480314,.47258222,.67098719,.49078423,.22654343,.39659449,.53881967,.64119685,.840195
BD6,3,.91493475,.88928372,.93448752,.92696148,.91025794,.81772369,.89786118,.94332319,.94072789,.95932025,.81809103,.79903471,.83339709,.86275524,.79891723,.58370334,.77620471,.85241169,.88486254,.93734622,.50096166,.57122588,.41700289,.63693029,.44312271,.18479449,.34843847,.48809579,.58034253,.82029122
BD6,4,.87953383,.83856726,.91076106,.88720787,.87654954,.76178455,.8485316,.91442782,.91150409,.94264024,.77986246,.75919491,.7964626,.83610159,.75571966,.50946951,.71686393,.81875116,.86507964,.92236787,.46198729,.53985125,.3689476,.61454266,.39709258,.15047663,.29904893,.42510688,.54470831,.80505204
BD6,5,.81414795,.77345282,.84516829,.82425696,.81021684,.65044987,.75878441,.86418003,.86594272,.90493345,.71410006,.69275928,.73124099,.78012168,.68575788,.40836704,.62751907,.74665999,.81408691,.89441001,.40547934,.48631817,.30888492,.56556958,.33737937,.11655755,.23295702,.35135713,.48587376,.75664395
BD6,6,.69770926,.65636128,.72922724,.70807844,.69367695,.45749933,.61767334,.77320307,.77482778,.82620358,.57491851,.54172671,.60157812,.65382892,.54104334,.23978209,.44221255,.59101832,.68985319,.81586325,.30119976,.38053164,.20640598,.4677912,.2303343,.060657326,.11453943,.23520748,.34657189,.6680119
BD6,7,.62237173,.58528292,.65064305,.63270581,.61835307,.37640777,.53876007,.68389529,.69766331,.77686208,.51505941,.49149701,.53398472,.59809017,.47941548,.19165331,.36475363,.5168727,.6288746,.77518308,.27964762,.35937834,.18437728,.44429013,.20961121,.048497643,.096093878,.21597685,.31196231,.6457383
BD6,8,.51745719,.49362484,.53562361,.54250449,.50771713,.25462469,.43624377,.5557583,.60665303,.69454896,.44877943,.4363797,.45873886,.53781664,.410557,.13891856,.29456115,.43081906,.55825484,.72320861,.25317144,.33004272,.16131786,.41124192,.18593067,.037125532,.082376905,.18484874,.27742857,.60757309
BD6,9,.39175391,.38194418,.3992314,.42283365,.37966812,.16558139,.3036319,.41567874,.47865811,.56185079,.36095464,.3555471,.36529797,.45109767,.32225746,.090898834,.20927602,.33800283,.44132617,.63525248,.20667355,.27696046,.12268756,.34763524,.14671056,.025497824,.059427094,.13867182,.211202,.53045052
BD6,10,.25286835,.25382724,.25213733,.28191128,.2415746,.092227027,.18829662,.25462908,.30945179,.39793274,.23996902,.26065108,.2233572,.3436597,.195456,.049347095,.10805406,.18718167,.28208384,.50007445,.15415972,.21271698,.084189504,.27797124,.10149217,.011806252,.036858138,.091540806,.1353249,.43738061
BD6,11,.065090716,.061762281,.067627721,.090211213,.05532223,.015892353,.034438506,.059263837,.070480563,.14069916,.15098517,.17328233,.13307613,.23645499,.11429412,.026786117,.054624327,.098953977,.16940275,.3531051,.092714801,.13240562,.045288119,.18637703,.052872296,,,.03875101,.073548704,.29317924
BD6,12,.057998762,.058387425,.057702348,.08305531,.048255142,.014169322,.03244742,.050093416,.062648043,.12666367,.14791465,.16912082,.13088188,.23235629,.11166498,.025983641,.053379945,.094552048,.16727132,.34704927,.091672331,.13144054,.044153187,.18552956,.051746882,.0047995863,.01385667,.037676737,.072992526,.29003468
BD6,13,.0013015793,.001590551,.0010811522,,.00091074756,,.00062031904,,,.0033169936,.050872967,.061525028,.042317241,.098226674,.030544642,.0083508017,,.02462201,.041178297,.14753932,.052205179,,.0256372,.11314537,,,,,,.17471109
BD6,14,.0011701301,.0014218434,.00097810396,.0023063875,,,,,,.003019098,.04940917,.05968466,.041155905,.096452519,.029214073,.0079379827,.012140665,.02318236,.040109441,.14366046,.052173786,.074439555,.025568295,.11304019,.026282132,,.0066046198,.016662799,.037589699,.17457344
BD6,15,.0007240136,.00070447847,.00073875044,.00071303261,.0007281829,.00077932834,.00026131148,.0018193584,,,.03516297,.044609904,.027575197,.07123363,.019678297,.0033303562,.0075889276,.011265014,.030119758,.10791802,.034579746,.050121158,.016009187,.077618532,.016271688,.0017374121,.0039249659,.0074518272,.022207884,.12114547
BD6,16,.00047478228,.00026991012,.00063079508,.00052334706,.00045579654,,,.001533191,,.0007463966,.020586019,.026274875,.016016725,.044755109,.010210526,.00073783007,.0034117871,.003075446,.015981374,.069607228,.023696125,.036896594,.0079227621,.055035412,.010364855,,.0012702717,.0058541587,.01350061,.085992061
BD6,17,,,,,,,,,,,.0057330211,.0081083989,.0038251062,.013227873,.0025155472,,.000154097,.0006852154,.0055195084,.019324893,.007770665,.012031238,.0026795855,.020248203,.0024628944,,,.0011578704,.002087371,.031252295
BD6,18,,,,,,,,,,,.00073143793,.0014954956,.00011773242,.0011324773,.00055924011,,,,.00198521,.00132812,.00041258716,.00075778028,,.00071427802,.00028423677,,,,,.0018089812
BF6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BF6,1,.47907946,.52628708,.43006226,.76475817,.36376888,.2364803,.31128171,.39823082,.53656811,.76728708,.34797561,.45382163,.27302319,.69975573,.18678677,.10618392,.15417688,.18280801,.30474505,.72678918,.15848482,.20434548,.11529136,.44364044,.072784811,.0287148,.048025832,.073999316,.11857727,.49756321
BF6,2,.46631292,.51580143,.41492736,.75169903,.35112041,.226969,.29562661,.38351658,.52437478,.75528902,.33834052,.44281417,.26435992,.69220048,.17619868,.10060953,.14456627,.17022586,.2919789,.71909755,.15277874,.19736132,.11078904,.43364298,.06836845,.02670243,.04424746,.067655891,.11011866,.48953569
BF6,3,.44389141,.49234307,.39358237,.73498011,.32639712,.20010713,.27359051,.35824394,.49605712,.74202311,.31812924,.41962788,.24625532,.66761351,.15799236,.086416937,.12520216,.14929794,.27337307,.69468087,.14081062,.17972794,.1041567,.41489041,.058439326,.01995004,.037245061,.052055329,.097743139,.47153836
BF6,4,.41219208,.45364392,.36915118,.70245683,.29503036,.17757781,.24497615,.32500446,.45725614,.70864058,.29093504,.38460255,.2246066,.62883884,.13610445,.067631967,.10481881,.12342902,.24200612,.6609447,.127314,.16174091,.09488932,.38506985,.049848668,.014072987,.025121422,.044241522,.0862801,.442458
BF6,5,.38124847,.41171977,.34960908,.67023206,.26460388,.15770954,.21698102,.28485835,.42112628,.67888486,.26740205,.35350502,.20643027,.58928496,.11991239,.05538135,.089789882,.10765384,.21570788,.62329388,.1161935,.1459606,.088157631,.35882089,.043274842,.011893,.020399375,.03274538,.076546729,.4158439
BF6,6,.30437106,.33331957,.27431279,.57979137,.19320109,.094549075,.14932153,.20561375,.3337115,.59635293,.2163728,.2939539,.16143556,.51318377,.080371283,.033777777,.055334967,.068415724,.1491503,.55001175,.091012277,.11795904,.065632723,.30297098,.027310729,.0077593829,.011544232,.012972254,.047611993,.35372987
BF6,7,.22506946,.24614428,.20318674,.47273266,.12510332,.055100843,.095076904,.13416143,.22090812,.49343428,.17053311,.23134857,.12746805,.4228189,.054933425,.018963173,.032705802,.043496732,.097746447,.46433592,.06648057,.087906748,.046300545,.24678594,.012292054,.0028441944,.0011920456,.0060260058,.014656526,.28896454
BF6,8,.1608417,.1791712,.14180949,.37587169,.074047528,.031844564,.049374592,.079027846,.14664498,.39068553,.15272135,.21050915,.11180025,.38894558,.044481196,.014085173,.024675647,.031374786,.081452318,.42917556,.061527237,.081546232,.042672548,.23148265,.010449267,,,.0054012029,.012586663,.26979977
BF6,9,.097483918,.11333324,.081026964,.24899936,.03632658,.015534959,.017868012,.038816534,.079813056,.26077262,.13288671,.18553841,.095602632,.34620392,.035142772,.011187381,.019387852,.024622567,.061207112,.38356686,.057794373,.077416785,.039313201,.217103,.0099161677,,,.0038342087,.010858221,.25526872
BF6,10,.039349969,.049571551,.028736483,.10672784,.012153685,.0024449513,.0062877848,.014322871,.023475375,.11596905,.091712527,.13560647,.060630061,.24660146,.02074095,.0046466114,.0072502918,.01163169,.031595509,.2807911,.043578409,.06271816,.025551815,.16222365,.0079210941,.0023075901,,.0013961695,.0057135229,.19548629
BF6,11,.020504486,.023849998,.017030641,.062047355,.003736167,,,.0055509149,.0074102292,.06737975,.070432089,.10692602,.044589765,.1949649,.01336996,.0023276513,.0044814893,.0076690987,.018201472,.22187595,.032418787,.048919249,.01687799,.12872125,.0034763273,,,,,.15125361
BF6,12,.0086414143,.011620733,.0055477987,.026554996,.0014107547,,.00037551951,.0031188058,.0020726863,.027986668,.056767959,.087194338,.035222225,.16093814,.0090361731,.0011812911,.0027566871,.0057430309,.010750141,.18266492,.028608404,.042161848,.015843228,.11460539,.0027631307,,,,,.13340576
BF6,13,.0022538914,.0027289155,.0017605673,.0066487081,.00047990869,.0013024647,,.00032383137,.00058602623,.0070464159,.03307575,.052361514,.019418992,.09881629,.0029527692,.00040248389,.00039819704,.0017361389,.0021599564,.11115094,.020821398,.030968336,.01126461,.085055888,.0015165822,,,.00066809962,,.096931398
BF6,14,.00056237518,.00068719231,.0004326824,.0015382302,.00016841269,.00069221406,,,,.0016838391,.02052585,.034975693,.010293539,.063226543,.00095993542,,,,.0012063134,.069573961,.015899537,.023424551,.0088121817,.067793362,,,,,,.074473582
BF6,15,,,,,,,,,,,.013728812,.023065504,.0071172589,.042317268,.00062924903,,,.00072604092,.00048598531,.046599638,.014808665,.02300646,.0070876568,.063072756,.00030355921,,,,,.069363929
BF6,16,,,,,,,,,,,.0068980088,.01239414,.0030060597,.021127624,.00037779627,,,,.00016061243,.023614343,.011763138,.019830029,.0041654175,.050903585,,,,,,.05509866
BF6,17,,,,,,,,,,,.0044675097,.0082137631,.0018146973,.013947116,.00012379419,,,,,.015333176,.0097359857,.016150543,.0036945031,.042131353,,,,,,.045603473
BF6,18,,,,,,,,,,,.00214752,.0037210968,.0010332381,.0068342141,,,,.00013948968,,.0073243533,.0048439549,.0087410007,.0011735668,.020961743,,,,,,.022689182
